Category,Subcategory,Item Code,Description,Qty,Price,Vendor
Main Menu,,IB4R34,CHAIRMAN'S RESERVE SEMI BNLS C,,,Fancy Foods
Main Menu,,IB4R38,CHAIRMAN'S RESERVE EYE ROUND,,,Fancy Foods
Main Menu,,NA4234,NATIONAL SELECT SEMI B/O CHUCK,,,Fancy Foods
Main Menu,,IP4P38,IOWA PREMIUM PRIME EYE ROUND,,,Fancy Foods
Main Menu,,IB4334,IBP SELECT SEMI BNLS CHUCKS,,,Fancy Foods
Main Menu,,NE4P38,NEBRASKA PRIME EYE ROUNDS,,,Fancy Foods
Main Menu,,NE4134,NEBRASKA CH SEMI BONELESS CHUC,,,Fancy Foods
Main Menu,,CF4138,CREEKSTONE CH EYE ROUNDS,,,Fancy Foods
Main Menu,,NE4B34,NEBRASKA BEEF CH BI CHUCK BLADE,,,Fancy Foods
Main Menu,,NA4138,NATIONAL CHOICE EYE ROUND,,,Fancy Foods
Main Menu,,IB4R7B,,,,Fancy Foods
Main Menu,,IB4A16,,,,Fancy Foods
Main Menu,,IB4R10,,,,Fancy Foods
Main Menu,,IB4P7B,,,,Fancy Foods
Main Menu,,HB4H16,,,,Fancy Foods
