Category,Subcategory,Item Code,Description,Qty,Stock,Price,Vendor
BEEF CHUCK PRICE,,IB4R38,CHAIRMAN'S RESERVE EYE ROUND,50,50,,Fancy Foods
BEEF CHUCK PRICE,,IP4P38,IOWA PREMIUM PRIME EYE ROUND,3,3,,Fancy Foods
BEEF CHUCK PRICE,,NE4P38,NEBRASKA PRIME EYE ROUNDS,7,7,,Fancy Foods
BEEF CHUCK PRICE,,CF4138,CREEKSTONE CH EYE ROUNDS,10,10,,Fancy Foods
BEEF CHUCK PRICE,,NA4138,NATIONAL CHOICE EYE ROUND,2,2,,Fancy Foods
BEEF CHUCK PRICE,,IB4R44,CHAIRMAN'S RESERVE BOTTOM FLAT,74,74,,Fancy Foods
BEEF CHUCK PRICE,,NE4P44,NEBRASKA PRIME BOTTOM RD FLAT,6,6,,Fancy Foods
BEEF CHUCK PRICE,,CF4144,CREEKSTONE CH BOTTOM RD FLAT,34,34,,Fancy Foods
BEEF CHUCK PRICE,,NA9244,NATIONAL SEL FRZ FLATS,43,43,,Fancy Foods
BEEF CHUCK PRICE,,NA4944,NATIONAL FROZEN FLATS,1,1,,Fancy Foods
BEEF CHUCK PRICE,,NA4244,NATIONAL SELECT BOTTOM RD FLAT,110,110,,Fancy Foods
BEEF CHUCK PRICE,,DK4244,DEMKOTA FLATS,-,-,,Fancy Foods
BEEF CHUCK PRICE,,NE4344,NEBRASKA SELECT BOTTOM ROUND F,24,24,,Fancy Foods
BEEF CHUCK PRICE,,IB4R50,CHAIRMAN'S RESERVE KNUCKLE PEE,9,9,,Fancy Foods
BEEF CHUCK PRICE,,NA4150,NATIONAL CHOICE PEELED KNUCKLE,69,69,,Fancy Foods
BEEF CHUCK PRICE,,NA4350,NATIONAL SELECT PEELED KNUCKLE,75,75,,Fancy Foods
BEEF CHUCK PRICE,,SW4250,SWIFT PEELED KNUCKLES,111,111,,Fancy Foods
BEEF CHUCK PRICE,,IB4250,IBP PEELED KNUCKLE,19,19,,Fancy Foods
BEEF CHUCK PRICE,,IB4350,IBP SELECT PEELED KNUCKLES,60,60,,Fancy Foods
BEEF CHUCK PRICE,,IB4150,IBP CH PEELED KNUCKLE,61,61,,Fancy Foods
BEEF CHUCK PRICE,,IB4A50,"IBP ""CAB"" PEELED KNUCKLES",108,108,,Fancy Foods
BEEF CHUCK PRICE,,IBRAEF,"C/R ANGUS 8"" FRENCEHD EXPORT",24,24,,Fancy Foods
BEEF CHUCK PRICE,,IB4PEF,IBP PRIME FRENCHED 12X12 TOMAHAWK,12,12,,Fancy Foods
BEEF CHUCK PRICE,,BR4PE2,BLUE RIBBON CAN PRIME EXPORTS RIBS,12,12,,Fancy Foods
BEEF CHUCK PRICE,,BRAPE2,BLUE RIBBON CAN CAB PR BI RIBEYE,195,195,,Fancy Foods
BEEF CHUCK PRICE,,BR9PE2,BLUE RIBBON FRZ PRIME EXPORT RIBS,47,47,,Fancy Foods
BEEF CHUCK PRICE,,IB4PE2,IBP PRIME EXPORT RIB,13,13,,Fancy Foods
BEEF CHUCK PRICE,,IB4AE2,IBP CAB EXPORT RIB,26,26,,Fancy Foods
BEEF CHUCK PRICE,,IB4RE2,CH RESERVE EXPORT RIBS 16/UP,41,41,,Fancy Foods
